name,price,rating,link
est,22000,,https://pocket-concierge.jp/en/restaurants/245083?seat_date_eq=2023-04-23
Sushi Murase,31460,3.75,https://pocket-concierge.jp/en/restaurants/244725?seat_date_eq=2023-04-23
"Élan (Ebisu, Tokyo)",13860,,https://pocket-concierge.jp/en/restaurants/244100?seat_date_eq=2023-04-23
Dominique Bouchet Tokyo,12320,,https://pocket-concierge.jp/en/restaurants/244269?seat_date_eq=2023-04-23
Restaurant Sant Pau,8470,,https://pocket-concierge.jp/en/restaurants/244109?seat_date_eq=2023-04-23
Asakusajuuroku,14520,3.80,https://pocket-concierge.jp/en/restaurants/244146?seat_date_eq=2023-04-23
L'ARGENT,,,https://pocket-concierge.jp/en/restaurants/245076?seat_date_eq=2023-04-23
Ten Soso ,18150,,https://pocket-concierge.jp/en/restaurants/244555?seat_date_eq=2023-04-23
Ginza Kushikatsu Bon,3800,,https://pocket-concierge.jp/en/restaurants/244378?seat_date_eq=2023-04-23
BISTECCHERIA INTORNO,7480,,https://pocket-concierge.jp/en/restaurants/244139?seat_date_eq=2023-04-23
Cantonese cuisine Akasaka Rikyu Ginza Branch,6655,,https://pocket-concierge.jp/en/restaurants/244292?seat_date_eq=2023-04-23
Shirokane Taira,6000,,https://pocket-concierge.jp/en/restaurants/243765?seat_date_eq=2023-04-23
Tempura Yamanoue Ginza,9000,,https://pocket-concierge.jp/en/restaurants/244686?seat_date_eq=2023-04-23
